,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Adana,13152,3250,7162,2740,1599578,2258718,0.20%,0.45%,0.00822216859696745,0.14%,0.32%,0.005822772032630899
Adıyaman,1821,642,901,278,417362,632459,0.15%,0.22%,0.004363118827301,0.10%,0.14%,0.0028792380217531888
Afyon,4871,964,2345,1562,544755,736912,0.18%,0.43%,0.00894163431267267,0.13%,0.32%,0.0066100158499250924
Ağrı,3153,1243,1703,207,316215,535435,0.39%,0.54%,0.009971063991271761,0.23%,0.32%,0.005888669959939115
Amasya,1712,266,704,742,261116,335494,0.10%,0.27%,0.00655647298518666,0.08%,0.21%,0.0051029228540599835
Ankara,31606,6600,15594,9412,4269423,5663322,0.15%,0.37%,0.0074028738778050334,0.12%,0.28%,0.005580823410711946
Antalya,16432,4180,7998,4254,1903745,2548308,0.22%,0.42%,0.008631408092995648,0.16%,0.31%,0.006448200139072671
Artvin,1695,297,822,576,135986,169501,0.22%,0.60%,0.012464518406306531,0.18%,0.48%,0.009999941003297916
Aydın,7953,1443,3355,3155,867298,1119084,0.17%,0.39%,0.009169858572255442,0.13%,0.30%,0.007106705126692902
Balıkesir,9964,1688,4221,4055,992100,1240285,0.17%,0.43%,0.010043342404999496,0.14%,0.34%,0.00803363743010679
Bilecik,1324,227,572,525,169031,218717,0.13%,0.34%,0.007832882725653875,0.10%,0.26%,0.006053484639968544
Bingöl,721,273,347,101,193043,281768,0.14%,0.18%,0.003734919163088017,0.10%,0.12%,0.0025588427358678063
Bitlis,1790,1057,569,164,216393,350994,0.49%,0.26%,0.008271986616942322,0.30%,0.16%,0.0050998022758223785
Bolu,2049,380,917,752,247627,314802,0.15%,0.37%,0.008274541952210382,0.12%,0.29%,0.006508853183906075
Burdur,2208,441,907,860,212252,267092,0.21%,0.43%,0.010402728831766014,0.17%,0.34%,0.008266814430982582
Bursa,8672,2319,3491,2862,2314439,3101833,0.10%,0.15%,0.003746912318708767,0.07%,0.11%,0.002795766245313658
Çanakkale,3475,700,1326,1449,437937,541548,0.16%,0.30%,0.007934931280069965,0.13%,0.24%,0.006416790386078427
Çankırı,1018,165,321,532,151413,192428,0.11%,0.21%,0.006723332871021643,0.09%,0.17%,0.0052902903943293075
Çorum,3558,653,1635,1270,407844,530126,0.16%,0.40%,0.008723923853238003,0.12%,0.31%,0.006711611956402817
Denizli,7067,1340,3448,2279,793926,1040915,0.17%,0.43%,0.008901333373639356,0.13%,0.33%,0.006789219100502923
Diyarbakır,3383,1409,1448,526,1099830,1783431,0.13%,0.13%,0.003075929916441632,0.08%,0.08%,0.001896905459196347
Edirne,4063,645,1903,1515,334075,407763,0.19%,0.57%,0.01216193968420265,0.16%,0.47%,0.009964121315568113
Elazığ,3185,829,1571,785,432965,587960,0.19%,0.36%,0.007356252814892659,0.14%,0.27%,0.005417035172460711
Erzincan,2015,496,911,608,180234,234431,0.28%,0.51%,0.011179910560715513,0.21%,0.39%,0.008595279634519325
Erzurum,7059,2544,3192,1323,526063,758279,0.48%,0.61%,0.0134185449271285,0.34%,0.42%,0.009309238420159335
Eskişehir,5230,862,2361,2007,698642,888828,0.12%,0.34%,0.0074859513169835195,0.10%,0.27%,0.005884153064484917
Gaziantep,9297,2788,5027,1482,1317351,2101157,0.21%,0.38%,0.007057344625692014,0.13%,0.24%,0.004424705055357596
Giresun,4582,910,2002,1670,359477,448721,0.25%,0.56%,0.012746295312356562,0.20%,0.45%,0.010211244849249311
Gümüşhane,746,155,347,244,110911,141702,0.14%,0.31%,0.006726113730829223,0.11%,0.24%,0.005264569307419796
Hakkari,2681,2283,338,60,181606,280514,1.26%,0.19%,0.014762728103697014,0.81%,0.12%,0.009557455242875578
Hatay,4170,1199,2269,702,1120447,1659320,0.11%,0.20%,0.0037217289171196854,0.07%,0.14%,0.002513077646264735
Isparta,2352,622,776,954,342106,440304,0.18%,0.23%,0.006875062115250828,0.14%,0.18%,0.005341763872233729
Mersin,12846,2960,6579,3307,1356886,1868757,0.22%,0.48%,0.009467265488773559,0.16%,0.35%,0.006874087963282546
İstanbul,49111,12186,24249,12676,11520854,15462452,0.11%,0.21%,0.004262791629856606,0.08%,0.16%,0.0031761456721094428
İzmir,17610,3900,7806,5904,3429827,4394694,0.11%,0.23%,0.0051343697510107655,0.09%,0.18%,0.0040071049315378955
Kars,1174,484,406,284,194225,284923,0.25%,0.21%,0.006044535976316128,0.17%,0.14%,0.004120411479592732
Kastamonu,3609,636,1570,1403,302774,376377,0.21%,0.52%,0.011919781751405338,0.17%,0.42%,0.009588789963254928
Kayseri,11832,2666,6117,3049,1016718,1421455,0.26%,0.60%,0.01163744519129198,0.19%,0.43%,0.008323865335167135
Kırklareli,3132,493,1575,1064,294199,361737,0.17%,0.54%,0.010645855356408418,0.14%,0.44%,0.008658224068867713
Kırşehir,1130,206,451,473,185308,243042,0.11%,0.24%,0.00609795583568977,0.08%,0.19%,0.004649402160943376
Kocaeli,12279,2842,6576,2861,1453509,1997258,0.20%,0.45%,0.008447832108366717,0.14%,0.33%,0.006147928810399057
