,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Adana,2788,449,2142,197,1599578,0.03%,0.13%,0.001742959705622358
Adıyaman,872,250,584,38,417362,0.06%,0.14%,0.002089313353875053
Afyon,1826,294,1421,111,544755,0.05%,0.26%,0.0033519655625005736
Ağrı,1048,446,570,32,316215,0.14%,0.18%,0.0033142007811141154
Amasya,989,142,790,57,261116,0.05%,0.30%,0.00378758865791449
Ankara,10547,1180,8698,669,4269423,0.03%,0.20%,0.0024703572356264535
Antalya,7872,1432,5995,445,1903745,0.08%,0.31%,0.004135007577170262
Artvin,452,45,369,38,135986,0.03%,0.27%,0.003323871575015075
Aydın,4593,563,3689,341,867298,0.06%,0.43%,0.0052957576288657415
Balıkesir,4305,370,3419,516,992100,0.04%,0.34%,0.004339280314484427
Bilecik,644,90,526,28,169031,0.05%,0.31%,0.003809952020635268
Bingöl,259,74,167,18,193043,0.04%,0.09%,0.0013416699906238507
Bitlis,796,436,329,31,216393,0.20%,0.15%,0.0036784923726737927
Bolu,745,111,574,60,247627,0.04%,0.23%,0.003008557225181422
Burdur,767,97,613,57,212252,0.05%,0.29%,0.003613629082411473
Bursa,8434,1336,6623,475,2314439,0.06%,0.29%,0.003644079623615053
Çanakkale,2175,271,1728,176,437937,0.06%,0.39%,0.004966467779612136
Çankırı,673,74,534,65,151413,0.05%,0.35%,0.004444796681922952
Çorum,1102,181,834,87,407844,0.04%,0.20%,0.0027020135149714106
Denizli,2542,373,2055,114,793926,0.05%,0.26%,0.0032018097404544
Diyarbakır,3244,1406,1677,161,1099830,0.13%,0.15%,0.0029495467481338027
Edirne,1911,234,1494,183,334075,0.07%,0.45%,0.00572027239392352
Elazığ,1249,258,896,95,432965,0.06%,0.21%,0.0028847597380850646
Erzincan,656,87,499,70,180234,0.05%,0.28%,0.0036397128177813286
Erzurum,1075,177,847,51,526063,0.03%,0.16%,0.0020434814841568407
Eskişehir,2425,307,1985,133,698642,0.04%,0.28%,0.003471019492100389
Gaziantep,1890,419,1403,68,1317351,0.03%,0.11%,0.0014346973585627522
Giresun,2200,354,1645,201,359477,0.10%,0.46%,0.006120002114182548
Gümüşhane,200,38,135,27,110911,0.03%,0.12%,0.0018032476490158775
Hakkari,225,66,153,6,181606,0.04%,0.08%,0.0012389458498067245
Hatay,1862,469,1322,71,1120447,0.04%,0.12%,0.0016618367490831784
Isparta,993,133,789,71,342106,0.04%,0.23%,0.0029026091328418677
Mersin,1630,206,1286,138,1356886,0.02%,0.09%,0.0012012799896232993
