,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran
Adana,20305,18542,1763,0,1599578,1.16%,0.11%
Adıyaman,3993,3660,333,0,417362,0.88%,0.08%
Afyon,5010,4461,549,0,544755,0.82%,0.10%
Ağrı,4279,3858,421,0,316215,1.22%,0.13%
Amasya,2150,1770,380,0,261116,0.68%,0.15%
Ankara,41442,36885,4557,0,4269423,0.86%,0.11%
Antalya,24988,22538,2450,0,1903745,1.18%,0.13%
Artvin,1264,1111,153,0,135986,0.82%,0.11%
Aydın,8672,7235,1437,0,867298,0.83%,0.17%
Balıkesir,8583,7209,1374,0,992100,0.73%,0.14%
Bilecik,1280,1090,190,0,169031,0.64%,0.11%
Bingöl,2073,1872,201,0,193043,0.97%,0.10%
Bitlis,1886,1788,98,0,216393,0.83%,0.05%
Bolu,2004,1652,352,0,247627,0.67%,0.14%
Burdur,2387,2008,379,0,212252,0.95%,0.18%
Bursa,24392,21490,2902,0,2314439,0.93%,0.13%
Çanakkale,4744,4083,661,0,437937,0.93%,0.15%
Çankırı,1957,1777,180,0,151413,1.17%,0.12%
Çorum,4293,3420,873,0,407844,0.84%,0.21%
Denizli,8721,7817,904,0,793926,0.98%,0.11%
Diyarbakır,8551,7814,737,0,1099830,0.71%,0.07%
Edirne,3014,2510,504,0,334075,0.75%,0.15%
Elazığ,3949,3488,461,0,432965,0.81%,0.11%
Erzincan,1667,1467,200,0,180234,0.81%,0.11%
Erzurum,5326,4871,455,0,526063,0.93%,0.09%
Eskişehir,5966,5068,898,0,698642,0.73%,0.13%
Gaziantep,21310,20213,1097,0,1317351,1.53%,0.08%
Giresun,3583,3090,493,0,359477,0.86%,0.14%
Gümüşhane,930,766,164,0,110911,0.69%,0.15%
Hakkari,3853,3691,162,0,181606,2.03%,0.09%
Hatay,18675,17446,1229,0,1120447,1.56%,0.11%
Isparta,2996,2431,565,0,342106,0.71%,0.17%
Mersin,16349,15068,1281,0,1356886,1.11%,0.09%
İstanbul,93621,82102,11519,0,11520854,0.71%,0.10%
İzmir,37493,32457,5036,0,3429827,0.95%,0.15%
Kars,1749,1533,216,0,194225,0.79%,0.11%
Kastamonu,2271,1923,348,0,302774,0.64%,0.11%
Kayseri,12044,10683,1361,0,1016718,1.05%,0.13%
Kırklareli,2735,2395,340,0,294199,0.81%,0.12%
Kırşehir,1619,1408,211,0,185308,0.76%,0.11%
Kocaeli,12804,11088,1716,0,1453509,0.76%,0.12%
Konya,14193,12127,2066,0,1611865,0.75%,0.13%
Kütahya,4322,3587,735,0,454645,0.79%,0.16%
Malatya,5947,5444,503,0,585623,0.93%,0.09%
Manisa,13689,12058,1631,0,1101092,1.10%,0.15%
Kahramanmaraş,10273,9545,728,0,785567,1.22%,0.09%
Mardin,4023,3678,345,0,517582,0.71%,0.07%
Muğla,9432,8199,1233,0,787329,1.04%,0.16%
Muş,3269,3084,185,0,244220,1.26%,0.08%
Nevşehir,3335,3014,321,0,228791,1.32%,0.14%
Niğde,2632,2325,307,0,260708,0.89%,0.12%
Ordu,6422,5486,936,0,589401,0.93%,0.16%
Rize,2505,2223,282,0,268906,0.83%,0.10%
Sakarya,6909,6028,881,0,777027,0.78%,0.11%
Samsun,11166,9616,1550,0,1030199,0.93%,0.15%
Siirt,1955,1824,131,0,197181,0.93%,0.07%
Sinop,1202,978,224,0,172933,0.57%,0.13%
Sivas,4342,3841,501,0,478755,0.80%,0.10%
Tekirdağ,12680,11814,866,0,809854,1.46%,0.11%
Tokat,4292,3681,611,0,457272,0.80%,0.13%
Trabzon,5606,4717,889,0,621825,0.76%,0.14%
Tunceli,651,552,99,0,68980,0.80%,0.14%
Şanlıurfa,9626,8914,712,0,1157716,0.77%,0.06%
Uşak,3593,3154,439,0,286295,1.10%,0.15%
Van,10537,9724,813,0,693216,1.40%,0.12%
Yozgat,2678,2386,292,0,315031,0.76%,0.09%
Zonguldak,4467,3755,712,0,466537,0.80%,0.15%
Aksaray,2887,2568,319,0,299426,0.86%,0.11%
Bayburt,864,790,74,0,62060,1.27%,0.12%
Karaman,1869,1677,192,0,188095,0.89%,0.10%
Kırıkkale,1989,1747,242,0,214988,0.81%,0.11%
Batman,4395,4150,245,0,375020,1.11%,0.07%
Şırnak,6866,6564,302,0,307348,2.14%,0.10%
Bartın,1678,1439,239,0,159253,0.90%,0.15%
Ardahan,1167,1058,109,0,71678,1.48%,0.15%
Iğdır,1210,1003,207,0,130907,0.77%,0.16%
Yalova,1515,1259,256,0,210810,0.60%,0.12%
Karabük,1903,1527,376,0,195265,0.78%,0.19%
Kilis,1317,1214,103,0,94522,1.28%,0.11%
Osmaniye,4458,4139,319,0,378009,1.09%,0.08%
Düzce,2547,2247,300,0,298284,0.75%,0.10%
