şehir,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,g1dozoran,g2dozoran,toplamoran
Adana,1906645,1058283,725620,122742,1599578,66.16%,45.36%,46.85%,32.13%,1.191967506429821
Adıyaman,432087,253132,155666,23289,417362,60.65%,37.30%,40.02%,24.61%,1.0352811228621677
Afyon,672127,367413,253506,51208,544755,67.45%,46.54%,49.86%,34.40%,1.2338152013290378
Ağrı,278838,176762,93746,8330,316215,55.90%,29.65%,33.01%,17.51%,0.881798776149139
Amasya,410096,209650,160222,40224,261116,80.29%,61.36%,62.49%,47.76%,1.5705510194702736
Ankara,6155893,3273304,2423565,459024,4269423,76.67%,56.77%,57.80%,42.79%,1.4418559603955852
Antalya,2673665,1432609,1042714,198342,1903745,75.25%,54.77%,56.22%,40.92%,1.4044239118159207
Artvin,200555,100471,79235,20849,135986,73.88%,58.27%,59.27%,46.75%,1.4748209374494434
Aydın,1373289,684124,537866,151299,867298,78.88%,62.02%,61.13%,48.06%,1.58341077691866
Balıkesir,1683539,810288,665557,207694,992100,81.67%,67.09%,65.33%,53.66%,1.696944864428989
Bilecik,252949,130764,100599,21586,169031,77.36%,59.52%,59.79%,46.00%,1.4964651454466933
Bingöl,167092,98695,59711,8686,193043,51.13%,30.93%,35.03%,21.19%,0.8655688110939014
Bitlis,160240,103272,50722,6246,216393,47.72%,23.44%,29.42%,14.45%,0.7405045449714177
Bolu,354599,183492,138864,32243,247627,74.10%,56.08%,58.29%,44.11%,1.4319884342175935
Burdur,318539,160294,122320,35925,212252,75.52%,57.63%,60.01%,45.80%,1.5007585323106496
Bursa,2946246,1615399,1134979,195868,2314439,69.80%,49.04%,52.08%,36.59%,1.2729849436515717
Çanakkale,753001,368415,302324,82262,437937,84.13%,69.03%,68.03%,55.83%,1.7194276802371118
Çankırı,208821,102486,81126,25209,151413,67.69%,53.58%,53.26%,42.16%,1.3791484218660222
Çorum,570790,298122,224693,47975,407844,73.10%,55.09%,56.24%,42.38%,1.3995302125322426
Denizli,1131514,600606,443004,87904,793926,75.65%,55.80%,57.70%,42.56%,1.4252134329899764
Diyarbakır,862015,531131,291263,39621,1099830,48.29%,26.48%,29.78%,16.33%,0.7837711282652774
Edirne,560481,274992,223182,62307,334075,82.31%,66.81%,67.44%,54.73%,1.6777100950385393
